CANDIDATO,NÚMERO,PARTIDO,VOTOS
Eduardo Suplicy,13131,PT,167552
Milton Leite,25250,DEM,132716
Delegado Palumbo,15000,MDB,118395
Felipe Becari,55070,PSD,98717
Fernando Holiday,51000,PATRIOTA,67715
Erika Hilton,50700,PSOL,50508
Silvia Da Bancada Feminista,50900,PSOL,46267
Roberto Tripoli,43666,PV,46219
Thammy Miranda,22000,PL,43321
André Santos,10456,REPUBLICANOS,41584
Rute Costa,45000,PSDB,41546
Eduardo Tuma,45555,PSDB,40270
Sansão Pereira,10300,REPUBLICANOS,39709
Luana Alves,50505,PSOL,37550
Atilio Francisco,10123,REPUBLICANOS,35345
João Jorge,45045,PSDB,34323
Faria De Sá,11152,PP,34213
Carlos Bezerra Jr.,45321,PSDB,34144
Rubinho Nunes,51051,PATRIOTA,33038
Eli Corrêa,25777,DEM,32482
Donato,13700,PT,31920
Rodrigo Goulart,55800,PSD,31472
Alessandro Guedes,13699,PT,31124
Janaína Lima,30300,NOVO,30931
Adilson Amadeu,25200,DEM,30549
Tripoli,45123,PSDB,30495
Jair Tatto,13114,PT,29918
Celso Giannazi,50789,PSOL,28535
Dra Sandra Tadeu,25000,DEM,28464
Juliana Cardoso,13222,PT,28402
Toninho Vespoli,50650,PSOL,26748
Marlon Do Uber,51234,PATRIOTA,25643
George Hato,15622,MDB,25599
Aurélio Nomura,45451,PSDB,25316
Senival Moura,13800,PT,25311
Alfredinho,13110,PT,25159
Arselino Tatto,13696,PT,25021
Fabio Riva,45780,PSDB,24739
Isac Félix,22678,PL,23929
Camilo Cristofaro,40400,PSB,23431
Ricardo Teixeira,25025,DEM,23280
Edir Sales,55123,PSD,23106
Ely Teruel,19001,PODE,23084
Marcelo Messias,15115,MDB,23006
Elaine Do Quilombo Periférico,50020,PSOL,22742
Gilberto Nascimento Jr,20200,PSC,22659
Eliseu Gabriel,40123,PSB,21122
Dr Milton Ferreira,19500,PODE,20126
Sandra Santana,45456,PSDB,19591
Danilo Do Posto De Saúde,19333,PODE,19024
Cris Monteiro,30002,NOVO,18085
Sonaira Fernandes,10120,REPUBLICANOS,17881
Paulo Frange,14444,PTB,17796
Missionário José Olimpio,25011,DEM,17098
Rinaldi Digilio,17444,PSL,13673
Major Palumbo,11193,PP,29086
Renata Falzoni,43010,PV,26078
Reis,13651,PT,23300
Manoel Del Rio,13613,PT,23075
Police Neto,55000,PSD,21608
Juntas Mulheres Sem Teto,50400,PSOL,21172
Hélio Rodrigues,13900,PT,20576
Noemi Nonato,22401,PL,18907
Felipe Franco,19777,PODE,18848
Andréa Werner,50005,PSOL,17565
Gilson Barreto,45678,PSDB,17540
Luna,13400,PT,17296
Toninho Paiva,22611,PL,17224
João Ananias,13644,PT,16821
Henrique Krigner,11011,PP,16670
André Soares,25005,DEM,16425
Nabil Bonduki Direito À Cidade,13777,PT,16379
Daniel Annenberg,45444,PSDB,15849
Naira Sathiyo,30321,NOVO,15791
Dalton Silvano,25888,DEM,15647
Beto Do Social,45777,PSDB,14854
Adriana Ramalho,45122,PSDB,14610
Ana Mielke,50075,PSOL,14392
Coronel Salles,55555,PSD,14117
Luiz Proteção Animal,19067,PODE,13208
Quito Formiga,45500,PSDB,12673
Jorge Wilson Filho,10000,REPUBLICANOS,12576
Carmen Silva,13300,PT,12427
Douglas Viegas Ninja,25034,DEM,12426
Juarez Pereira,25440,DEM,12340
Dalcides Neto,19577,PODE,11763
Zé Turin,10600,REPUBLICANOS,11746
Caique Mafra,10038,REPUBLICANOS,11519
Tamires Sampaio,13011,PT,11451
Keit Lima,50777,PSOL,11355
Matheus Mafepi,22022,PL,11182
Bioto Npn,17070,PSL,11035
Dr Barreira,20333,PSC,10945
Jose Maria Trindade,43363,PV,10803
Sônia Do Jaraguá É Guarani,50520,PSOL,10580
Mario Covas,19000,PODE,10568
Renata Pietro,45111,PSDB,10267
Ozziel Souza,45222,PSDB,10228
Andréa Neri Santana,10100,REPUBLICANOS,10213
Edson Japão,30000,NOVO,9836
Simone Nascimento,50555,PSOL,9733
André Bolini,30777,NOVO,9463
Dr Nunes Peixeiro,15400,MDB,9435
Masataka Ota,40096,PSB,9427
Kamia,19599,PODE,9255
Caio Miranda Carneiro,25111,DEM,9133
Marcelo Aguiar,25012,DEM,8700
Matheus Hector,30456,NOVO,8598
Alexandre Pires,45133,PSDB,8508
Gentil,17000,PSL,8480
Dr Calvo,19233,PODE,8368
Eliana Passarelli,10555,REPUBLICANOS,8204
Souza Santos,10777,REPUBLICANOS,7816
Armandinho Ferreiro,15500,MDB,7736
Marcelinho Carioca,17600,PSL,7574
Repórter Carlos Cavalcante,10177,REPUBLICANOS,7564
Abou Anni Filho,17010,PSL,7537
Leandro Gimenez,45157,PSDB,7458
Sargento Galesco,19190,PODE,7443
Miro Leitão,19800,PODE,7403
Welington Camargo,10010,REPUBLICANOS,7364
Ligieri,51007,PATRIOTA,6990
Joanna Douat,30005,NOVO,6969
Rogerio Graft,51444,PATRIOTA,6958
Vivi Mendes,13180,PT,6623
de Lucca,13000,PT,6319
Diretor Elias Junior,17300,PSL,6230
Maurren Maggi,25047,DEM,6228
Cleber Jacob Spdepre,55011,PSD,5981
Dr Adriano Santos,40007,PSB,5813
Yudi Watanabe,25700,DEM,5797
Inti Queiroz,50737,PSOL,5713
Cabrabom,19019,PODE,5589
Doutor Tanaka,40444,PSB,5535
Barolo,51633,PATRIOTA,5528
Mario Graf,14000,PTB,5272
Rodolfo Despachante,20000,PSC,5254
Waldir Júnior,55055,PSD,5248
Dra Roberta,30033,NOVO,5155
Wafá Kadri,30700,NOVO,5141
Santiago,45677,PSDB,5116
Fiscal Do Povo Wellington,17700,PSL,5065
Major Costa E Silva,14111,PTB,5060
Capitão Silva Rosa,25600,DEM,4992
Doutor Mohamed Youssef,19123,PODE,4981
Diana E Bancada Revolucionária,50200,PSOL,4968
Anibal De Freitas,25333,DEM,4954
Geraldo Malta,19999,PODE,4911
Dr Sampaio,10234,REPUBLICANOS,4862
Diogo Da Luz,30500,NOVO,4790
Caputti,25222,DEM,4729
